Crop,N,P,K,Temperature,Humidity,pH,Rainfall,Yield
groundnut,,,49,19.5,,8.3,181,unknown
millet,89,55,,22.1,,,,
wheat,118,26,,15.8,,,216,
barley,75,,,36.0,40.4,,,2157.2
soybean,,,,,,,212,3632.4
cotton,,,43,,,,,1980.0
,102,73,,35.8,,,,unknown
rice,,,,,97.4,6.9,,unknown
groundnut,,,,,,,257,
groundnut,50,,31,,37.5,7.6,,1540.1
soybean,111,,,,,6.7,,
wheat,,,,34.9,,,,2314.1
banana,71,,,,,,,
barley,61,65,42,18.7,,6.2,245,2620.1
barley,,,,,,,,
rice,124,,38,,58.2,,300,unknown
sugarcane,,34,,32.1,,,,
rice,,,28,19.5,82.5,,,
cotton,,,67,,93.3,6.8,247,unknown
wheat,115,,44,,,6.7,153,
unknown,,,50,,,7.6,,
barley,,,,37.5,,5.3,,
banana,125,,69,,,,,
barley,92,23,75,21.0,,,,
soybean,,,,,,,,3306.7
barley,,20,29,,,,,unknown
sugarcane,68,,,15.7,,,,
wheat,71,50,,,,,,3211.2
banana,97,,50,,,,,
,,,,,42.3,7.9,,3565.8
barley,,,,,80.9,,,
groundnut,,,,,,,,
wheat,,,,,65.7,,,3323.8
sugarcane,,,68,,36.7,,79,
banana,,28,,,63.7,6.8,,
N/A,,,42,,,6.4,,
N/A,,,,,,5.9,66,
N/A,,,,17.2,,5.8,,
barley,,62,,39.7,60.2,8.0,300,unknown
,,62,,,,,,
soybean,,,61,36.2,,4.9,,3222.5
maize,84,,,,,,244,
,,29,51,26.8,,6.0,193,
unknown,67,53,,,,6.2,,unknown
rice,116,,,,,,,unknown
barley,,,,,75.8,,87,
wheat,,,,,93.9,6.2,,2659.4
millet,76,52,,,,,102,
sugarcane,,,71,,84.1,,82,
rice,,27,,28.1,,,,
millet,,,,15.2,,,,3110.1
,107,45,,25.7,76.1,4.8,68,
rice,45,53,,,62.3,,52,4109.3
rice,52,,77,,95.3,8.1,,
,,,,,,6.7,,
groundnut,,,,,,,,
soybean,82,,77,,,,141,2957.8
barley,,,,,,,,
groundnut,119,,,,,,,unknown
maize,,,,,,7.5,227,unknown
groundnut,,,,,,,,unknown
,,53,,,,6.4,,2436.6
maize,,,,,,7.2,,
groundnut,,73,,,,7.1,,unknown
cotton,129,,71,,,,,unknown
millet,,,,,,,,unknown
cotton,41,,,,,,111,
cotton,,,47,31.4,,,238,
unknown,82,,34,,,,,unknown
maize,,64,,,46.6,,,
banana,,,,21.0,,,86,3046.0
soybean,,72,,20.6,,4.7,130,
groundnut,,,,,,,264,unknown
,88,,35,,87.0,,,1817.2
millet,,75,33,19.7,,,220,
sugarcane,,,,37.2,,5.8,,3839.0
sugarcane,102,,55,,,,,5126.1
unknown,,57,46,,,,137,
rice,,74,,,,6.3,,3659.4
maize,,59,,,,,238,
millet,,75,54,26.9,70.0,,,2888.2
barley,,,,22.1,,,,2350.2
banana,,,,20.9,,,54,4061.5
millet,,54,,19.0,,,129,
,70,21,55,,79.3,,,
,77,,,33.8,,,137,1755.2
,,62,,,,7.0,100,unknown
sugarcane,,,68,,32.3,,,
barley,102,58,,,,5.6,,2038.1
maize,,,,,32.0,5.6,291,
wheat,65,40,,36.4,86.7,,,
wheat,,33,37,,,,,
unknown,,30,,36.7,,8.5,,
rice,,22,24,36.4,,,140,4302.3
sugarcane,,59,34,39.1,56.3,,,unknown
,68,,66,,,,,2662.2
sugarcane,102,,,,,6.0,,
barley,,,,,64.0,,,3449.3
millet,,31,,17.0,43.0,,,unknown
soybean,,,,,,,253,3005.5
wheat,,,,20.2,,,,
cotton,,,,,,8.0,,2372.9
wheat,,,,,36.1,7.2,,
wheat,,,72,,,,,
soybean,99,29,,18.1,,8.1,294,3531.0
N/A,58,,,16.0,,5.8,273,
banana,63,,,,40.9,4.9,,
maize,97,,,,33.9,8.3,,
maize,90,37,,21.8,,7.0,261,unknown
sugarcane,97,,77,,64.0,7.2,,
rice,,25,,,,,,2564.1
groundnut,,,21,,89.8,5.4,,2375.4
unknown,,,27,36.1,,5.0,,
maize,66,,,31.2,58.3,,,unknown
wheat,,,,,,,207,2103.7
wheat,106,50,,35.7,,5.2,222,3756.2
,,75,,,,,,unknown
maize,,,,26.4,,,,
barley,,,49,,42.0,,177,
groundnut,47,,,,,,,
sugarcane,,,,30.6,,,,
groundnut,,,,19.5,42.6,,235,
wheat,,46,34,,78.6,5.3,,
millet,,28,,,,5.6,148,
banana,,25,,,86.9,6.7,,
sugarcane,,,,28.3,,5.7,240,unknown
maize,,,,,92.0,7.7,154,unknown
sugarcane,,26,27,26.6,,,,
unknown,,39,,36.3,,6.9,,3296.3
wheat,,32,,34.0,,8.0,224,2495.8
rice,68,,69,,,6.9,,unknown
banana,,,,20.2,,7.8,,4465.7
groundnut,67,,,,48.8,,,
soybean,,,69,,,,,
groundnut,,29,29,,47.2,,121,
unknown,62,,,25.6,38.2,,,2270.9
wheat,,49,,29.6,,6.5,,
cotton,,,,,,,,unknown
banana,,,76,,80.4,5.1,,
unknown,61,69,,,66.7,,,
millet,122,76,,,48.4,,,unknown
,40,,,,64.0,,282,
banana,124,,,21.8,,,,
cotton,,,57,,91.0,,,unknown
soybean,,79,,36.9,36.4,,76,3546.0
wheat,,,,,91.4,,,unknown
barley,48,75,,17.1,84.1,,145,3148.7
,,,67,,,6.1,297,unknown
banana,113,,,24.6,,,,unknown
millet,48,,,,65.2,7.3,264,
barley,,77,,,82.1,5.5,,
N/A,109,,55,32.3,68.2,7.1,,2568.8
sugarcane,,,63,,36.0,5.8,,
rice,,,,21.4,,,,unknown
rice,,66,,,48.6,,,unknown
wheat,,,,23.0,,6.6,,
soybean,,,,,43.3,,,
N/A,,,,29.2,,,,
N/A,,50,77,17.6,,5.1,,
groundnut,,,,38.2,,,,
maize,,,75,,33.3,,,
unknown,,,62,,45.3,7.7,,3364.7
barley,,,72,19.1,,,,unknown
groundnut,,,51,,,,,unknown
banana,,,,,,8.5,,
soybean,112,,,,,,,
groundnut,,30,,,,,,2505.0
millet,,,,38.8,,,134,
cotton,84,,,,37.9,7.7,70,
barley,,,,33.7,80.6,4.9,,
sugarcane,,38,52,19.3,,7.3,,
N/A,78,,,23.1,66.7,,,unknown
unknown,,69,39,,,,,
millet,89,52,,,,,,
groundnut,,,74,32.8,95.1,,,
barley,,49,51,,,,,
cotton,,,,,33.9,8.1,,2543.0
unknown,,,,,,,,
wheat,,,,,,5.7,,2939.0
maize,,38,,,,,,
soybean,63,,,18.5,94.4,5.4,280,unknown
,95,,,,87.3,6.2,191,
sugarcane,,,27,,,,,
wheat,118,27,,33.9,,,,
rice,97,,,22.5,,,,unknown
banana,,,,,55.8,7.1,,3822.1
soybean,,55,,37.3,86.7,,,unknown
soybean,130,,,,,6.6,152,
rice,,,76,31.8,,,,
unknown,,22,,,,6.4,,
,,,,,,8.1,,unknown
unknown,,,,,,,,3422.3
sugarcane,,48,,,61.7,7.9,,
barley,,,27,,,,,
millet,,,,37.0,,,,1906.7
millet,,68,,,,,,2094.9
millet,,24,45,17.6,,,,
barley,83,,,,,,256,
rice,,,,16.4,40.3,,246,
maize,,33,,16.7,,,300,
cotton,110,,,,,6.7,,unknown
millet,,72,,35.6,,,,3419.8
groundnut,108,,,,,4.7,,1609.0
sugarcane,,,44,21.6,,7.0,,4557.6
soybean,,,55,,,,,2319.4
maize,,,,,70.3,,182,unknown
N/A,,,32,,42.1,5.4,,4110.4
sugarcane,53,,36,,89.3,,,unknown
soybean,44,,,,,4.9,,2665.3
unknown,,50,,29.2,95.8,,,
maize,,,44,,,7.5,258,
maize,91,,,,,,,unknown
unknown,,,,,,,,unknown
cotton,,25,,,,4.9,,
unknown,,,36,23.8,,5.2,,unknown
unknown,,80,,,,,,
sugarcane,111,,50,,,7.2,,
cotton,76,,50,18.9,,,,unknown
,,67,,,86.4,,162,
N/A,,,41,17.7,,4.9,208,
soybean,66,,28,38.4,59.1,5.4,,
,,,,26.0,36.3,,,unknown
maize,85,33,57,,47.7,7.2,105,unknown
N/A,,69,,39.8,,,224,4190.6
barley,77,,36,35.3,,,,3627.9
unknown,46,,,28.4,,,,unknown
sugarcane,85,,,,78.5,4.8,,unknown
unknown,,,,33.2,99.8,,,3572.6
groundnut,,60,80,,,,208,unknown
banana,92,28,48,,97.8,,,4483.7
N/A,,38,,,,,250,
unknown,,,,25.7,,,,3698.9
soybean,60,38,,,,,,
millet,,,76,,,,267,unknown
rice,120,,,,,4.6,,2650.1
rice,,,,31.7,,7.3,,unknown
millet,,,,,,,262,
cotton,,53,,,,,,
rice,,60,,,59.2,,,4533.5
millet,,52,45,28.9,,,,unknown
unknown,,,20,,,,,
barley,,,23,15.3,,,,3410.3
sugarcane,,24,,,,4.6,,4750.1
barley,,,49,,74.1,,,
cotton,,21,47,,,,,1908.9
cotton,,41,,,,7.6,,
maize,,,,,,,,unknown
maize,,,33,,,,,3349.6
cotton,,,,,,7.7,,unknown
,,35,52,,,5.1,,unknown
wheat,,,,,,5.6,275,
groundnut,,,60,17.9,52.3,,,
sugarcane,,,,,70.6,6.3,,
maize,,,,,37.5,,164,
cotton,104,,47,37.6,95.5,5.1,,unknown
rice,,,,39.5,,5.3,300,unknown
millet,67,74,,,,,,unknown
soybean,,79,,35.7,33.7,6.1,180,
N/A,,,,,,5.9,,
cotton,,,,,51.5,,151,
millet,,,,,78.3,,62,3117.1
sugarcane,92,,,,,5.0,,
unknown,,,,35.2,,5.4,276,
rice,,44,,,,,,
maize,,,,18.8,,4.6,,
banana,65,70,,,,,149,
sugarcane,,29,,,75.1,,,
banana,127,59,,,72.2,,,4446.5
maize,86,61,47,,85.7,6.3,,
sugarcane,,,,,,,,
cotton,94,,,,70.7,,211,
wheat,82,40,,,,,,3776.4
sugarcane,,,,,,5.2,,
unknown,66,74,,,,,294,
soybean,89,78,,22.1,,,73,
,,49,,,,,232,3523.8
unknown,41,,,39.5,34.8,4.6,,
unknown,112,,,,,6.2,,
,,,,,,,,3425.5
wheat,,,,28.1,,,,
barley,94,,,,,,,
N/A,,,64,25.2,40.7,4.9,172,
groundnut,,,,,53.5,,,
wheat,,73,,16.2,,,,3834.3
cotton,,,,26.3,33.6,5.1,,unknown
millet,88,,,,,,,2983.8
sugarcane,,,51,,,,60,unknown
millet,,,69,25.8,,,,2385.4
unknown,129,38,,36.1,,4.7,255,1949.4
rice,62,,,,,7.1,,unknown
millet,,,,,,,,unknown
maize,,,,,,8.4,,unknown
N/A,109,,74,,,,,unknown
barley,69,,80,34.6,,6.6,143,
banana,,,,,,,,4025.5
soybean,,37,48,,,,,unknown
millet,87,,77,,,7.9,,
N/A,106,53,80,,,7.1,192,2468.8
unknown,,,,,,,167,3059.5
cotton,,44,,,92.3,7.9,,unknown
unknown,,,,32.4,,5.1,,
sugarcane,,,,,95.7,,,
rice,107,,,20.2,,6.3,141,unknown
wheat,,,,,,,,unknown
unknown,,,,,,4.7,133,
millet,,,,24.2,,,,unknown
sugarcane,,,24,,,5.3,55,unknown
,,,48,,74.0,5.7,,4168.7
banana,106,56,,,67.9,,,4751.6
groundnut,,,,19.8,,,,unknown
cotton,,,,37.1,,,,3154.6
banana,,,,,,,,
maize,,,,,,,138,3060.6
soybean,,,70,38.1,42.6,,,
wheat,,,,,,,,3432.9
N/A,,27,,,,,178,2000.1
soybean,58,,,,,,,
banana,,20,20,30.4,89.5,8.5,,
sugarcane,,41,28,20.8,,,,
wheat,71,63,,,,,,unknown
wheat,,38,48,,,,,2384.3
,,71,,,,,55,1596.1
barley,,,,,,,,
barley,40,,,39.2,70.9,,,unknown
soybean,,,,22.2,,,298,2867.2
maize,124,,37,29.6,,,296,
N/A,89,,23,17.2,,8.2,91,3341.4
N/A,,28,80,,,7.2,,
millet,,,,20.6,,7.5,,2205.7
sugarcane,100,,,,,,,4469.6
N/A,86,54,,,,,,1656.9
unknown,,,,,,5.4,,
unknown,,65,,,,,,2578.0
maize,,35,,31.7,,,,
rice,,,,,,,,2824.0
N/A,,,,20.4,,,,
N/A,,66,43,27.4,,,,unknown
millet,,,,,,,,unknown
,,,,,,,,
wheat,,,50,,63.5,7.6,,
groundnut,,,80,,49.2,,,2082.3
soybean,,,,,,,54,
cotton,,,,,84.0,8.3,,
maize,,,,,,,,unknown
maize,,,29,35.7,45.6,,,
N/A,,41,,,,,,
,,67,54,,,,260,
rice,,80,,25.8,,,143,3274.0
banana,,52,46,,,,,
barley,106,,,20.3,,,,
millet,,30,47,,91.6,,,
barley,,,,28.8,,,,unknown
unknown,,,41,34.4,,,,
,,,,,,6.2,140,3144.8
unknown,,,52,,,8.3,188,unknown
cotton,120,,,34.9,82.0,,178,
rice,,,,,68.2,,51,4414.0
soybean,90,,34,,39.6,,,
N/A,,,77,,84.3,,,unknown
cotton,99,,,29.2,,,,unknown
rice,75,63,,,,,,3161.1
soybean,107,,44,,,,,
rice,,,,,,,,
barley,,,,,,,,
cotton,113,,,,,5.7,200,
soybean,,,,,,,,3652.2
millet,,59,,31.7,,7.0,,2543.5
wheat,,71,58,,,,,3108.0
N/A,81,,,21.9,,,,unknown
soybean,89,,,,,7.8,,
unknown,57,77,,,84.9,6.3,,3220.4
soybean,46,,,,,,,unknown
millet,,34,78,26.8,45.1,,,unknown
banana,,22,70,,,5.4,221,
wheat,,,24,,,,,unknown
sugarcane,,51,,,81.6,,208,3924.1
groundnut,,,46,,51.5,4.9,,1814.4
wheat,,,,22.8,,,65,unknown
N/A,115,,,30.5,,,,unknown
wheat,66,,,,82.6,,,
millet,74,,,,39.2,,,2934.4
,,,,,93.0,,,unknown
banana,123,,43,32.5,,5.3,106,
barley,,26,,,,5.3,,
,77,,76,,74.9,,,
wheat,,37,78,30.5,,4.9,,2535.4
maize,,43,35,,50.6,,235,
wheat,,,,,,,92,2985.1
,,,,16.9,,,,unknown
sugarcane,82,58,40,,,,,
cotton,47,,,27.1,,7.7,89,1791.5
sugarcane,117,,,,,,,3468.7
,,,,,,,,
soybean,,,,,,6.4,165,
soybean,62,,,,,,,
,,56,,,,7.9,,
banana,98,77,,35.3,,,137,
soybean,,74,,,,6.9,102,
cotton,,,,,,8.4,,
sugarcane,128,,65,21.8,,,261,
barley,,53,,29.4,86.6,4.9,59,unknown
barley,,67,,,51.5,8.1,204,3133.0
,106,,38,37.7,96.7,,,
barley,,,,26.5,,,,
N/A,,,,,77.3,7.2,,
soybean,,21,,,,,129,unknown
barley,,26,,,32.0,,144,
N/A,61,,49,,,,204,
soybean,81,,,,60.6,,193,unknown
barley,,,55,19.4,,,,
banana,,62,,,,,,
cotton,106,67,,31.2,,4.5,,unknown
millet,82,,,,,,,1982.5
banana,,,31,,,,,unknown
N/A,,,,,,,,
groundnut,,47,,,,6.4,,
soybean,61,,21,,71.7,7.7,,unknown
barley,115,,,17.6,,5.6,221,unknown
,,,47,,,6.3,292,unknown
millet,,,,,40.9,,,
soybean,,39,,34.9,,,188,3431.5
banana,,58,31,,,,204,unknown
N/A,88,45,53,,39.0,,208,
soybean,,55,62,,,6.9,,
rice,,,61,,,,243,3357.2
sugarcane,,,55,21.9,,,253,unknown
barley,,53,60,,54.6,8.2,,
millet,,,,,,,229,
cotton,124,,36,,71.6,6.2,,unknown
barley,,,,,62.5,6.9,164,
N/A,,,,,,,,2826.4
,92,,54,,,6.1,,unknown
millet,,,59,,,7.6,,unknown
,,,,39.0,,,159,3374.6
wheat,,59,,,,,,unknown
sugarcane,119,,,,,,,
wheat,44,,,,33.3,,,
rice,,,,,,,,unknown
millet,,,,20.1,,5.4,166,2182.1
N/A,,20,,29.5,,,,
wheat,102,45,39,27.1,82.3,6.3,,
,77,29,,27.5,,,,2480.4
millet,64,,,,,8.5,179,unknown
sugarcane,,,56,,38.8,,,
millet,,41,30,36.1,,,,2619.8
groundnut,,,,,,6.2,71,1790.8
soybean,,76,,27.0,,,,
rice,91,73,,,,4.7,,
soybean,,24,48,19.9,93.2,,119,
,,57,,,,,,
groundnut,64,73,,20.2,80.6,,,
banana,,,,33.6,67.6,8.2,,unknown
unknown,81,,59,36.7,,,207,unknown
sugarcane,44,57,71,,,,121,5567.1
soybean,121,75,70,,,,,
rice,,,32,18.3,,7.8,,
rice,,69,,34.6,,6.1,,
,,,,,85.5,7.0,,unknown
wheat,69,22,45,,,,,
banana,,36,49,,79.2,,,
,90,,,,85.0,6.3,162,unknown
rice,53,,,,,7.3,91,unknown
,103,50,,,56.9,,,unknown
maize,,51,78,,72.2,5.8,,
wheat,,,70,,,,269,
wheat,,,30,,87.0,,,
groundnut,122,,,,,7.5,,
barley,,,,,59.4,,217,
,,,,24.9,49.8,8.3,,
unknown,,,41,,,7.6,,
sugarcane,,28,,,,,227,
sugarcane,,,,,52.9,6.7,113,
N/A,,57,55,,38.6,,,
unknown,,,,,,4.8,,3742.3
unknown,,,33,38.0,,,107,2204.8
banana,,,,24.5,39.5,8.4,,4813.2
maize,,,21,,,7.1,153,2332.5
barley,42,33,,35.1,,6.6,,2701.1
unknown,,55,67,25.9,86.0,,,3445.4
cotton,,,,,,,,2108.4
soybean,,39,44,,60.2,5.7,,2793.5
barley,,35,,27.7,,,,
soybean,,,,,,,,unknown
,,27,,26.8,,6.7,,
banana,67,,,,55.9,6.3,,
cotton,81,,33,,,6.3,,2993.6
cotton,,48,,,76.5,,,
barley,,,48,24.7,,,123,
banana,,,,,,,,unknown
maize,,48,,30.9,,,235,unknown
rice,109,60,,,,8.2,,
soybean,56,,,,43.4,,,
maize,105,,,36.5,,8.0,,3001.3
N/A,115,,,,,7.3,282,3346.9
barley,,59,,,77.9,5.2,194,3284.4
soybean,,22,,33.8,45.4,,249,
maize,,,41,,,7.0,114,2592.0
millet,,73,,35.2,92.2,,,unknown
maize,,33,,,,7.9,249,
N/A,,,,,,6.1,,
wheat,,,,,,,,3482.3
cotton,64,,,,67.3,4.7,,
wheat,,,71,39.2,57.3,,56,2990.7
N/A,,,,27.3,,,,
,,,,,85.4,,,
cotton,,,33,,,,226,2927.9
N/A,124,,,,,,132,2986.9
rice,,,,,35.7,,,
millet,,,57,,30.8,,,unknown
maize,101,,,,,,,
soybean,97,,,,,6.5,,unknown
cotton,,,,,,6.9,112,
sugarcane,,,,,,7.7,123,
sugarcane,,,,,85.3,,262,
banana,,47,,,,6.4,,unknown
rice,,,,,,,,
wheat,,,73,32.9,,7.6,140,
N/A,,,,,83.5,,,
maize,,,,,,,,3314.1
N/A,,71,,,,,,2258.5
barley,,,,29.5,,,97,
banana,45,,41,,,,,
maize,42,53,,,,7.2,,
millet,108,73,,,,,175,unknown
banana,,,,,,,257,
maize,,,,15.2,,,101,unknown
maize,70,,67,,,,233,
sugarcane,,59,,,,,,
soybean,62,,50,,,,,
N/A,81,,,,,,192,unknown
maize,89,,,,92.4,5.1,,
wheat,122,,,,52.0,6.6,61,unknown
barley,54,,,,,,264,
cotton,,,,,40.8,,,unknown
maize,,,,18.3,,6.6,202,unknown
rice,,,53,,,,,
rice,96,,33,,,7.3,58,
N/A,,,,,,,,
sugarcane,75,80,,21.8,75.5,,,3153.9
cotton,52,,,,72.4,5.4,,2035.7
sugarcane,,59,,28.9,37.1,,,unknown
barley,,50,,,,5.8,97,
N/A,,,,30.5,87.2,,,
barley,60,38,47,21.2,76.5,7.6,,
millet,,55,,,49.8,,,
banana,,,28,,,,,
N/A,123,51,65,,,7.4,,
cotton,,29,,23.5,39.2,,,1895.8
,83,61,,31.7,,5.4,,2261.7
millet,,,33,,54.1,,,
wheat,,,,20.5,,8.1,,unknown
sugarcane,77,,68,39.6,51.0,,118,4075.7
groundnut,53,,22,,,,,unknown
barley,,,76,27.9,96.1,,,
cotton,,41,,,,,,
wheat,,53,,,,,,unknown
barley,,,29,,,,56,2331.0
wheat,,,,28.8,90.6,,100,unknown
groundnut,,,,,94.1,7.3,,2233.8
barley,121,22,,,41.0,,,
millet,,,,27.8,66.1,,111,2103.1
millet,,,43,,52.3,5.8,,unknown
,,,34,27.6,,7.2,,
sugarcane,51,,47,23.6,,,,unknown
maize,,57,33,,,6.8,231,unknown
wheat,,36,52,,66.4,6.2,,unknown
cotton,60,,,,40.1,,,unknown
groundnut,,56,34,37.6,63.0,,,unknown
soybean,,31,30,,,,,unknown
unknown,,,26,34.7,87.2,6.3,,2818.4
N/A,111,,36,,,4.5,249,1994.3
unknown,94,,33,,,8.3,,
banana,,,,,50.3,,106,
rice,97,,,,,4.8,60,
N/A,,,,,,6.6,,unknown
sugarcane,78,,52,,,6.2,,unknown
banana,97,,,,,,69,
cotton,,55,,33.6,,,,
maize,126,,72,,85.0,,,unknown
N/A,48,41,47,39.5,,,,3245.8
wheat,,,,16.9,,,,2293.2
cotton,82,,21,27.6,,7.7,,
unknown,49,,71,,,7.7,65,
sugarcane,,,27,23.2,,,,unknown
cotton,,,,,,7.3,,
,,76,,25.7,,,,unknown
groundnut,123,30,,,,,253,
barley,,,52,,,6.2,,
groundnut,,,,,,,,
groundnut,,,40,,,8.4,,unknown
wheat,,,,16.1,,,216,3177.4
unknown,,,53,,43.6,,241,
unknown,,42,23,22.1,87.7,,273,
millet,67,,,,72.5,,,2999.8
N/A,81,,77,,67.3,,131,3136.0
soybean,,74,73,,75.3,,117,
sugarcane,,40,,34.2,,8.4,,unknown
barley,,77,74,27.9,,6.9,,unknown
maize,107,,,,98.4,7.3,,unknown
cotton,,74,,,53.3,5.2,,unknown
barley,,,,,,6.8,67,2745.7
wheat,,29,69,,70.2,7.8,,
banana,,67,,,,,,unknown
rice,,62,72,,,6.3,,
barley,,,,,82.6,,,unknown
sugarcane,,,20,22.6,,,,
N/A,,,,,,,,unknown
millet,88,,69,,,,,unknown
wheat,,,,,,,,
soybean,54,29,,,72.4,,,unknown
cotton,91,65,74,,,,72,2345.6
,,,,16.5,,,199,unknown
wheat,,,24,,,6.1,127,2303.9
unknown,,,,,,,,2100.3
barley,,,20,29.7,77.2,,,
wheat,,,34,,98.0,,119,unknown
,,20,78,,,6.8,,
,,,35,30.5,,6.9,,
N/A,,55,60,18.2,,,,4371.4
wheat,,76,,,,,261,
sugarcane,94,44,,,,8.0,,
soybean,101,,,,,,,2187.1
N/A,55,,29,,99.0,,127,
banana,62,50,,20.4,,,,unknown
N/A,84,39,,18.8,,8.2,234,3907.2
,,48,42,,,,,unknown
rice,,24,,,,7.2,124,3723.1
banana,86,,,31.5,,,184,unknown
barley,104,70,,,59.1,4.8,,2070.8
maize,79,,,,,,,
,108,,,31.4,,,,
unknown,,,,,,,270,
groundnut,,,,22.9,36.2,,277,2084.1
groundnut,,,,,,,286,
soybean,,,,,,5.1,,
soybean,97,,23,,99.4,5.1,198,
N/A,,38,,,,,155,
sugarcane,,,60,17.5,,,,
soybean,,,22,38.2,,,,unknown
unknown,82,,36,,,,,
,42,,58,,,7.4,177,unknown
N/A,,,43,,65.2,,,
wheat,102,,,26.0,51.7,,,
soybean,,,65,,92.3,6.4,,unknown
groundnut,,,59,19.3,,5.0,,1473.6
wheat,66,66,,31.8,85.7,,,3397.1
banana,,33,,,84.4,5.1,,unknown
wheat,,,45,,,8.2,158,
cotton,,,,,,,,unknown
maize,,,,30.8,,,,
unknown,,,,,35.5,,,unknown
banana,,,,,73.7,,,
soybean,,,20,16.3,54.2,7.9,295,
barley,,,,28.8,55.7,,267,
cotton,,,70,,,,,unknown
rice,,,27,,55.9,,81,
soybean,,,,,,,,2189.6
barley,,37,,,,,,unknown
groundnut,,,69,,,,,
banana,43,,,,39.4,,,unknown
maize,72,,,,31.0,,,3775.8
sugarcane,,,,,,5.8,,
maize,,76,,,,4.8,,3248.1
,110,,,,,,,
sugarcane,,,,33.1,,,,3667.3
N/A,83,,42,,,,,2940.4
barley,62,68,21,,,7.1,196,
unknown,,,,,,,273,unknown
wheat,,,,,,,,2403.9
cotton,102,75,60,,,,,
soybean,,37,41,17.6,88.2,5.2,,
wheat,56,,,,,8.2,53,
sugarcane,,,36,,,,134,unknown
sugarcane,,,,,,,,unknown
sugarcane,49,,50,,45.6,8.1,,unknown
N/A,,45,46,,,,,
barley,,,,33.5,,,,unknown
banana,58,,31,,71.0,,183,unknown
maize,81,25,58,,,,,
cotton,,,80,30.3,,,,unknown
N/A,76,76,,,,,,
groundnut,,,57,20.2,,8.2,,
sugarcane,62,,,26.2,,8.4,,unknown
soybean,118,39,71,26.2,,,181,
millet,105,51,,,52.1,,146,unknown
,41,,,,,,,
banana,,,64,,,7.6,189,
banana,58,,60,36.3,,6.5,,4287.5
millet,,,54,,,,,unknown
banana,104,,70,,89.2,7.7,,
,,52,69,38.5,,,232,
millet,125,,46,37.8,35.4,,,
cotton,,,71,16.8,,,,
cotton,61,,49,,73.9,,65,3024.0
sugarcane,,75,,20.8,,6.4,,4165.0
unknown,68,,49,39.3,,,,
cotton,,,,36.1,,6.0,,
N/A,,,57,,,,,4733.5
banana,110,,,,,,228,unknown
,,,,,54.2,,,
barley,,64,,,,,,2610.1
groundnut,,,,,47.1,,,
barley,,,,18.5,,,129,2213.5
cotton,,67,,,,7.5,158,unknown
millet,111,,60,,,,,2584.9
soybean,,,58,,,,92,
banana,,,,,92.6,7.8,,
,86,24,,,74.2,5.3,217,
cotton,129,,78,,,5.0,,
millet,,,,31.4,,,,3350.1
groundnut,,,,,,7.8,207,1804.2
N/A,,,36,,,7.3,,2264.6
cotton,,77,59,25.7,,,,unknown
barley,,50,,20.4,,,,
rice,,26,,,,,,unknown
unknown,,53,,32.7,97.1,,,unknown
rice,,67,24,,,,,
soybean,,,,16.0,71.5,,131,
unknown,94,,,,,6.6,,
banana,,,,,,5.8,123,unknown
wheat,88,,,26.3,,,,
,114,,,,,,,
unknown,,55,24,,,,274,1617.6
groundnut,,,56,36.0,,,,
wheat,83,28,77,35.6,,,181,3401.7
millet,,58,44,,,,277,
soybean,,,30,21.8,58.1,7.7,,3276.7
groundnut,108,,24,,,7.1,,
groundnut,,56,46,,,,,
soybean,,,,15.3,,,,
barley,,,,,,,,
barley,,,,,77.7,4.6,,
soybean,109,61,,25.3,,,251,
wheat,,,,,78.8,7.9,,2861.7
millet,129,52,,39.0,,7.2,225,
rice,46,74,,,64.7,,,unknown
groundnut,50,,,,,,,
barley,52,,,31.0,37.8,4.7,95,3594.4
wheat,,,,,62.3,,,
barley,,,,,61.8,,,
barley,65,,51,,,7.3,,
unknown,,70,,19.6,,,,unknown
wheat,74,42,22,21.7,,,249,
wheat,,,,16.1,50.3,7.1,152,2215.0
cotton,83,,32,,,7.1,195,2450.2
millet,,,79,23.2,,,,
rice,,,29,,80.5,,,3285.3
unknown,,,32,,48.6,,,1719.6
sugarcane,,,,,,6.5,,
sugarcane,,,,38.7,,,217,
millet,,64,,,86.4,,,
unknown,,,,,,5.4,227,2539.9
wheat,,43,,,,,,2493.6
sugarcane,,,,,,,63,
,96,,,,,5.4,,
banana,,,32,,71.2,,224,
wheat,46,75,,,,6.8,,
,,,,,,,,
barley,76,,80,,55.3,6.1,166,
sugarcane,,47,,,,6.8,230,3291.1
rice,112,,,,,6.0,,
rice,,,51,32.2,,,,unknown
millet,,,76,25.3,,,228,
millet,,,,,,8.1,,3439.4
wheat,,,49,,48.0,,,
wheat,97,,,,,,,3203.3
,,,,,,,296,3866.2
sugarcane,,,,37.7,87.6,,,3178.9
banana,,,,,59.1,7.0,,2897.6
wheat,112,40,65,,50.7,7.3,,3443.6
maize,,,,25.2,,,,
unknown,48,,,,,6.1,,
rice,,,50,26.4,43.1,,,
N/A,,,29,,,,,3154.5
unknown,,,63,34.9,,,,
banana,,39,,31.0,,6.1,,unknown
millet,,,,,79.0,,,
soybean,,,66,23.6,,,,
,,31,,,,,116,2405.2
cotton,,,75,,,7.4,180,unknown
groundnut,,22,,,,6.2,,1462.6
unknown,,,,,,,,3303.6
banana,,30,73,,,7.2,,
